Type,ID,Label,Parent,Plant structure,Text definition,Comments,Subclass of,Ignore,Notes,Plant type
Class,PPO:0002000,plant phenological trait,PATO:'quality',,A {PATO:'quality'} of a {'portion of a plant'} or a {whole plant} that provides phenologically relevant information about the 'portion of a plant' or the 'whole plant'.,,,,,
Class,PPO:0002001,plant structure presence,'plant phenological trait',,A {plant phenological trait} that is measured by the number of some {plant structure} that are part of a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002002,abscised plant structure presence,'plant phenological trait',,A {plant phenological trait} that is measured by the number of some {plant structure} that a {whole plant} has abscised or that have been removed from a {whole plant}.,The number can be 0 or more.,,,,
,,,,,,,,,,
Class,PPO:0002003,new shoot system presence,'plant structure presence',new shoot system,A {plant phenological trait} that is measured by the number of new shoot systems {$new shoot system} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002004,new above-ground shoot-borne shoot system presence,'plant structure presence',new above-ground shoot-borne shoot system,A {plant phenological trait} that is measured by the number of new above-ground shoot-borne shoot systems {$new above-ground shoot-borne shoot system} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002005,new shoot system emerging from ground presence,'plant structure presence',new shoot system emerging from ground,A {plant phenological trait} that is measured by the number of new shoot systems emerging from ground {$new shoot system emerging from ground} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002006,new shoot system emerging from ground in first growth cycle presence,'plant structure presence',new shoot system emerging from ground in first growth cycle,A {plant phenological trait} that is measured by the number of new shoot systems emerging from ground in first growth cycle {$new shoot system emerging from ground in first growth cycle} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002007,seedling presence,'plant structure presence',seedling,A {plant phenological trait} that is measured by whether or not a {whole plant} is a {seedling}.,"For consistency with other trait measurements, 'seedling presence' is also measured with a count, which must be a binary value: 0 if the plant is a seedling, 1 if it is not.",,,,
Class,PPO:0002008,new shoot system emerging from ground in later growth cycle presence,'plant structure presence',new shoot system emerging from ground in later growth cycle,A {plant phenological trait} that is measured by the number of new shoot systems emerging from ground in later growth cycle {$new shoot system emerging from ground in later growth cycle} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002009,leaf bud presence,'plant structure presence',PO:'vegetative bud',A {plant phenological trait} that is measured by the number of vegetative buds {$PO:'vegetative bud'} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002010,dormant leaf bud presence,'plant structure presence',dormant leaf bud,A {plant phenological trait} that is measured by the number of dormant leaf buds {$dormant leaf bud} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002011,non-dormant leaf bud presence,'plant structure presence',non-dormant leaf bud,A {plant phenological trait} that is measured by the number of non-dormant leaf buds {$non-dormant leaf bud} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002012,swelling leaf bud presence,'plant structure presence',swelling leaf bud,A {plant phenological trait} that is measured by the number of swelling leaf buds {$swelling leaf bud} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002013,breaking leaf bud presence,'plant structure presence',breaking leaf bud,A {plant phenological trait} that is measured by the number of breaking leaf buds {$breaking leaf bud} on a {whole plant}.,The number can be 0 or more.,,,,
,,,,,,,,,,
Class,PPO:0002014,vascular leaf presence,'plant structure presence',vascular leaf,A {plant phenological trait} that is measured by the number of vascular leaves {$vascular leaf} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002015,true leaf presence,'plant structure presence',true leaf,A {plant phenological trait} that is measured by the number of true leaves {$true leaf} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002016,unfolding true leaf presence,'plant structure presence',unfolding true leaf,A {plant phenological trait} that is measured by the number of unfolding true leaves {$unfolding true leaf} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002017,unfolded true leaf presence,'plant structure presence',unfolded true leaf,A {plant phenological trait} that is measured by the number of unfolded true leaves {$unfolded true leaf} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002018,non-senescing unfolded true leaf presence,'plant structure presence',non-senescing unfolded true leaf,A {plant phenological trait} that is measured by the number of non-senescing unfolded true leaves {$non-senescing unfolded true leaf} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002019,senescing true leaf presence,'plant structure presence',senescing true leaf,A {plant phenological trait} that is measured by the number of senescing true leaves {$senescing true leaf} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002020,immature unfolded true leaf presence,'plant structure presence',immature unfolded true leaf,A {plant phenological trait} that is measured by the number of immature unfolded true leaves {$immature unfolded true leaf} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002021,mature true leaf presence,'plant structure presence',mature true leaf,A {plant phenological trait} that is measured by the number of mature true leaves {$mature true leaf} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002022,expanding unfolded true leaf presence,'plant structure presence',expanding unfolded true leaf,A {plant phenological trait} that is measured by the number of expanding unfolded true leaves {$expanding unfolded true leaf} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002023,expanded immature true leaf presence,'plant structure presence',expanded immature true leaf,A {plant phenological trait} that is measured by the number of expanded immature true leaves {$expanded immature true leaf} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002024,expanding true leaf presence,'plant structure presence',expanding true leaf,A {plant phenological trait} that is measured by the number of expanding true leaves {$expanding true leaf} on a {whole plant}.,The number can be 0 or more.,,,,
,,,,,,,,,,
Class,PPO:0002025,reproductive structure presence,'plant structure presence',reproductive structure,A {plant phenological trait} that is measured by the number of reproductive structures {$reproductive structure} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002026,floral structure presence,'plant structure presence',floral structure,A {plant phenological trait} that is measured by the number of floral structures {$floral structure} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002027,non-senesced floral structure presence,'plant structure presence',non-senesced floral structure,A {plant phenological trait} that is measured by the number of non-senesced floral structures {$non-senesced floral structure} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002028,unopened floral structure presence,'plant structure presence',unopened floral structure,A {plant phenological trait} that is measured by the number of unopened floral structures {$unopened floral structure} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002029,open floral structure presence,'plant structure presence',open floral structure,A {plant phenological trait} that is measured by the number of open floral structures {$open floral structure} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002030,pollen-releasing floral structure presence,'plant structure presence',pollen-releasing floral structure,A {plant phenological trait} that is measured by the number of pollen-releasing floral structures {$pollen-releasing floral structure} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002031,senesced floral structure presence,'plant structure presence',senesced floral structure,A {plant phenological trait} that is measured by the number of senesced floral structures {$senesced floral structure} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002032,flower presence,'plant structure presence',PO:'flower',A {plant phenological trait} that is measured by the number of flowers {$PO:'flower'} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002033,non-senesced flower presence,'plant structure presence',non-senesced flower,A {plant phenological trait} that is measured by the number of non-senesced flowers {$non-senesced flower} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002034,unopened flower presence,'plant structure presence',unopened flower,A {plant phenological trait} that is measured by the number of unopened flowers {$unopened flower} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002035,open flower presence,'plant structure presence',open flower,A {plant phenological trait} that is measured by the number of open flowers {$open flower} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002036,pollen-releasing flower presence,'plant structure presence',pollen-releasing flower,A {plant phenological trait} that is measured by the number of pollen-releasing flowers {$pollen-releasing flower} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002037,senesced flower presence,'plant structure presence',senesced flower,A {plant phenological trait} that is measured by the number of senesced flowers {$senesced flower} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002038,flower head presence,'plant structure presence',PO:'inflorescence',A {plant phenological trait} that is measured by the number of inflorescences {$PO:'inflorescence'} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002039,non-senesced flower head presence,'plant structure presence',non-senesced flower head,A {plant phenological trait} that is measured by the number of non-senesced flower heads {$non-senesced flower head} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002040,unopened flower head presence,'plant structure presence',unopened flower head,A {plant phenological trait} that is measured by the number of unopened flower heads {$unopened flower head} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002041,open flower head presence,'plant structure presence',open flower head,A {plant phenological trait} that is measured by the number of open flower heads {$open flower head} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002042,pollen-releasing flower head presence,'plant structure presence',pollen-releasing flower head,A {plant phenological trait} that is measured by the number of pollen-releasing flower heads {$pollen-releasing flower head} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002043,senesced flower head presence,'plant structure presence',senesced flower head,A {plant phenological trait} that is measured by the number of senesced flower heads {$senesced flower head} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002044,fruit presence,'plant structure presence',simple fruit or compound fruit,A {plant phenological trait} that is measured by the number of simple fruit or compound fruits {$simple fruit or compound fruit} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002045,ripening fruit presence,'plant structure presence',ripening fruit,A {plant phenological trait} that is measured by the number of ripening fruits {$ripening fruit} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002046,unripe fruit presence,'plant structure presence',unripe fruit,A {plant phenological trait} that is measured by the number of unripe fruits {$unripe fruit} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002047,ripe fruit presence,'plant structure presence',ripe fruit,A {plant phenological trait} that is measured by the number of ripe fruits {$ripe fruit} on a {whole plant}.,The number can be 0 or more.,,,,
,,,,,,,,,,
Class,PPO:0002048,cone presence,'plant structure presence',PO:'strobilus',A {plant phenological trait} that is measured by the number of cones (strobili) {$strobilus} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002049,pollen cone presence,'plant structure presence',PO:'microsporangiate strobilus',A {plant phenological trait} that is measured by the number of pollen cones {$PO:'microsporangiate strobilus'} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002050,fresh pollen cone presence,'plant structure presence',fresh pollen cone,A {plant phenological trait} that is measured by the number of fresh pollen cones {$fresh pollen cone} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002051,open pollen cone presence,'plant structure presence',open pollen cone,A {plant phenological trait} that is measured by the number of open pollen cones {$open pollen cone} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002052,pollen-releasing pollen cone presence,'plant structure presence',pollen-releasing pollen cone,A {plant phenological trait} that is measured by the number of pollen-releasing pollen cones {$pollen-releasing pollen cone} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002053,seed cone presence,'plant structure presence',PO:'megasporangiate strobilus',A {plant phenological trait} that is measured by the number of seed cones {$PO:'megasporangiate strobilus'} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002054,fresh seed cone presence,'plant structure presence',fresh seed cone,A {plant phenological trait} that is measured by the number of fresh seed cones {$fresh seed cone} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002055,ripening seed cone presence,'plant structure presence',ripening seed cone,A {plant phenological trait} that is measured by the number of ripening seed cones {$ripening seed cone} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002056,unripe seed cone presence,'plant structure presence',unripe seed cone,A {plant phenological trait} that is measured by the number of unripe seed cones {$unripe seed cone} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002057,ripe seed cone presence,'plant structure presence',ripe seed cone,A {plant phenological trait} that is measured by the number of ripe seed cones {$ripe seed cone} on a {whole plant}.,The number can be 0 or more.,,,,
,,,,,,,,,,
Class,PPO:0002058,abscised leaf presence,'abscised plant structure presence',true leaf,A {plant phenological trait} that is measured by the number of true leaves {$true leaf} that a {whole plant} has abscised.,The number can be 0 or more.,,,,
Class,PPO:0002059,abscised fruit or seed presence,'abscised plant structure presence',ripe fruit,A {plant phenological trait} that is measured by the number of a whole plant's ripe fruits {$ripe fruit} that have been abscised or removed by an herbivore and/or the number of ripe fruits on a {whole plant} that have abscised at least one {mature seed}.,The number can be 0 or more.,,,,
Class,PPO:0002060,abscised cone or seed presence,'abscised plant structure presence',ripe seed cone,A {plant phenological trait} that is measured by the number of a whole plant's ripe seed cones {$ripe seed cone} that have been abscised or removed by an herbivore and/or the number of ripe seed cones on a {whole plant} that have abscised at least one {mature seed}.,The number can be 0 or more and only includes the most recent cone crop.,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,